,0
MonthlyIncome,0.06784837113937373
Age,0.058708179592743
DailyRate,0.058021437500663006
OverTime,0.05064240063952399
HourlyRate,0.04916989588827412
MonthlyRate,0.04916245440414116
DistanceFromHome,0.04683079800180262
TotalWorkingYears,0.045612405632582814
JobRole,0.04104073765893575
YearsAtCompany,0.039903542232470286
YearsWithCurrManager,0.0347323298540468
NumCompaniesWorked,0.03407211361106698
JobSatisfaction,0.03057357699461733
PercentSalaryHike,0.030398594973669365
EnvironmentSatisfaction,0.0287058688601145
StockOptionLevel,0.028091477554545836
JobInvolvement,0.027445632162974343
YearsInCurrentRole,0.026313708284241642
TrainingTimesLastYear,0.026136627019718767
YearsSinceLastPromotion,0.025285236874398695
EducationField,0.02502402956304839
WorkLifeBalance,0.023760749742519228
RelationshipSatisfaction,0.021933757251168397
JobLevel,0.02032172701809771
MaritalStatus,0.02013543224120563
AgeGroup,0.01928442876203409
Education,0.018459493359193283
BusinessTravel,0.01827297131017457
Department,0.013177992843651752
Gender,0.008660206322855133
SalarySlab,0.008356946359962213
PerformanceRating,0.003916876346184933
